sum: 617090
home and 64
sure you 64
the moment 64
her feelings 64
and Emma 64
a look 64
what a 64
when it 64
that in 64
for Mr 64
they could 64
To be 64
the better 64
to keep 64
and from 64
will have 63
thousand pounds 63
Mrs Ferrars 63
to whom 63
between the 63
and could 63
had better 63
appearance of 63
for their 63
and be 63
is nothing 63
side of 63
her but 63
a more 63
was still 63
have thought 63
half an 63
was always 62
thinking of 62
him for 62
but to 62
the more 62
that had 62
at any 62
it be 62
him the 62
was most 62
power to 62
for them 62
well and 62
her she 62
next day 62
and we 61
wished to 61
said Emma 61
object of 61
in some 61
afraid of 61
after the 61
happy to 61
day and 61
but when 61
said Elinor 61
me that 61
speak to 61
or the 61
you should 61
Emma could 61
of one 61
as this 61
account of 60
could hardly 60
trying to 60
upon the 60
a time 60
from a 60
but not 60
entered the 60
man who 60
She would 60
before and 59
do it 59
never been 59
with any 59
with which 59
Mr Wickham 59
all in 59
her uncle 59
on which 59
mean to 59
for he 59
it has 59
though it 59
wanted to 59
being in 59
under the 59
not very 59
convinced that 59
have made 59
though I 59
the course 59
would never 59
not quite 59
to stay 59
better than 59
who could 59
But it 58
soon afterwards 58
capable of 58
in short 58
have seen 58
Oh no 58
and my 58
be to 58
with it 58
me in 58
next morning 58
sister and 58
and Elinor 58
was of 58
power of 58
while she 58
look at 58
way of 58
I saw 58
that we 58
same time 58
if they 58
was over 58
away and 58
more of 58
a fine 57
pleasure in 57
she knew 57
was that 57
much in 57
the Parsonage 57
his mother 57
by Mr 57
friend and 57
a sort 57
told me 57
is an 57
that my 57
returned to 57
was impossible 57
my father 57
are you 57
the park 57
determined to 57
regard for 57
was more 57
up and 57
as for 57
to meet 57
himself and 56
aware of 56
and such 56
is in 56
him at 56
or to 56
be an 56
impossible for 56
to join 56
than he 56
with us 56
care of 56
by this 56
which they 56
could never 56
had given 56
her head 56
there are 56
In the 56
till the 56
to which 56
it should 56
they should 56
may have 56
thing to 56
said I 56
John Knightley 56
towards the 56
young woman 56
him but 55
be said 55
ashamed of 55
now I 55
and no 55
tell me 55
on my 55
this was 55
man and 55
are all 55
could do 55
of me 55
with Mrs 55
to such 55
Miss Morland 55
that of 55
to ask 55
sat down 55
in one 55
her of 55
gave her 55
very pretty 55
Oh yes 55
it It 55
what it 55
you mean 55
speak of 55
you see 54
to believe 54
known to 54
be quite 54
that Mrs 54
a smile 54
If you 54
or three 54
the point 54
pleased with 54
not I 54
the question 54
but his 54
that would 54
without a 54
and would 54
have her 54
attention to 54
a thing 54
you for 54
about her 54
or a 54
to call 54
whom he 53
we were 53
it so 53
for though 53
upon my 53
Crawford was 53
of both 53
a better 53
was almost 53
feel that 53
left her 53
her family 53
go and 53
you that 53
it were 53
had just 53
to understand 53
just as 53
attached to 53
of good 53
no other 53
in time 53
in law 53
he replied 53
are so 53
see the 52
your brother 52
hope you 52
never be 52
Miss Smith 52
know it 52
him a 52
to hope 52
the table 52
in and 52
without the 52
you could 52
two or 52
young people 52
all to 52
never have 52
if the 52
Have you 52
is that 52
it She 52
to this 52
they will 52
as ever 52
wish you 52
that moment 52
a girl 51
talking of 51
sight of 51
an end 51
behaviour to 51
and your 51
and even 51
her thoughts 51
the sort 51
her daughter 51
Miss Crawford's 51
of us 51
you all 51
I always 51
very glad 51
to put 51
this moment 51
satisfied with 51
the man 51
not even 51
a long 51
Elizabeth was 51
very soon 51
know I 51
good deal 51
before I 51
my heart 51
her so 50
thing in 50
was his 50
had already 50
make it 50
to Fanny 50
Henry Crawford 50
left the 50
What a 50
and good 50
necessary to 50
make the 50
Mr Frank 50
in fact 50
think that 50
the good 50
the kind 50
made no 50
quite as 50
He has 50
herself in 50
beyond the 50
like it 50
met with 50
coming to 50
danger of 50
Mrs Gardiner 49
to himself 49
who have 49
means of 49
in what 49
been very 49
know the 49
to sit 49
give me 49
saw her 49
over and 49
said to 49
his friend 49
be happy 49
my mother 49
not only 49
Mr Yates 49
They are 49
Catherine was 49
it that 49
I really 48
to that 48
a large 48
make a 48
much the 48
much for 48
and Elizabeth 48
endeavour to 48
to every 48
believe it 48
You know 48
the business 48
and without 48
possibility of 48
of spirits 48
very different 48
said Miss 48
what they 48
to avoid 48
it from 48
himself to 48
of each 48
her life 48
for such 48
it not 48
very great 48
we must 48
against the 48
set off 48
I knew 48
It will 48
five minutes 48
the utmost 48
soon after 48
made him 48
but with 48
right to 48
was gone 48
to us 48
nothing more 48
my life 48
resolved to 47
did she 47
and while 47
What is 47
she spoke 47
the ladies 47
to return 47
disposed to 47
had to 47
Yes I 47
be satisfied 47
affection for 47
letter from 47
in vain 47
at Mansfield 47
had always 47
heard of 47
being so 47
appeared to 47
feelings of 47
can have 47
and twenty 47
advantage of 47
with so 47
you said 47
happiness of 47
shall have 47
only one 47
few days 47
of pleasure 47
may not 47
on their 46
sure it 46
to London 46
could only 46
their being 46
heart and 46
up with 46
had so 46
the neighbourhood 46
of life 46
them with 46
you in 46
heart was 46
the hope 46
had taken 46
had nothing 46
and having 46
been at 46
not much 46
from any 46
necessity of 46
to dance 46
but for 46
to walk 46
and only 46
subject of 46
Upon my 46
have it 46
beginning to 46
way and 46
now and 46
Marianne was 46
the advantage 46
never to 46
almost every 46
his son 46
was going 46
I might 46
I ever 46
upon it 46
quite a 46
were at 46
Such a 45
be all 45
the little 45
was such 45
bear to 45
than any 45
a small 45
looking at 45
made it 45
how it 45
less than 45
last night 45
the part 45
during the 45
or any 45
was sure 45
we had 45
that when 45
No I 45
a moment's 45
Crawford and 45
air of 45
a different 45
by such 45
sure of 45
young men 45
it But 45
not say 45
from it 45
fixed on 45
the happiness 45
an excellent 45
not yet 45
But the 45
She must 45
to prevent 44
do for 44
was then 44
had heard 44
something to 44
on to 44
me a 44
for that 44
and nothing 44
round the 44
is always 44
had made 44
They had 44
went to 44
had any 44
little of 44
the sight 44
let us 44
on such 44
that though 44
her first 44
to day 44
to bring 44
but if 44
almost as 44
being a 44
down the 44
the occasion 44
I remember 44
Dr Grant 44
her mother's 44
and this 44
to town 44
a doubt 44
than her 44
very happy 44
can you 44
Elinor was 44
day of 44
for what 44
long as 44
has a 44
by him 44
it seemed 44
still more 43
among the 43
is it 43
a family 43
they might 43
me as 43
and Marianne 43
give him 43
feelings and 43
so good 43
quarter of 43
Miss Bertram 43
not want 43
a state 43
left to 43
her by 43
After a 43
you cannot 43
an opportunity 43
I told 43
allowed to 43
my brother 43
She felt 43
a fortnight 43
which could 43
together and 43
there would 43
and which 43
for Mrs 43
will never 43
look of 43
though the 43
to one 43
by it 43
appear to 43
not make 43
made a 43
love and 43
which must 43
towards her 42
a gentleman 42
whole of 42
me the 42
was with 42
are to 42
I understand 42
mind and 42
though he 42
that any 42
after all 42
only the 42
to pay 42
as in 42
good humour 42
them at 42
have given 42
I mean 42
which his 42
she began 42
loss of 42
what to 42
forward to 42
for an 42
much better 42
her on 42
will do 42
anxious to 42
seem to 42
so soon 42
day or 42
she added 42
matter of 42
not believe 42
his daughter 42
say you 42
depend upon 42
not give 42
was really 41
you but 41
was ready 41
am quite 41
seeing him 41
the children 41
my opinion 41
talk to 41
come in 41
it did 41
Miss Price 41
while the 41
it very 41
have never 41
it at 41
style of 41
of and 41
Miss Bennet 41
Miss Taylor 41
went on 41
if not 41
she ought 41
given her 41
was by 41
with no 41
how she 41
chance of 41
let me 41
where she 41
with what 41
know you 41
Sir Thomas's 41
away from 41
I only 41
on one 41
the name 41
in its 41
had left 41
which is 40
think the 40
for having 40
a subject 40
be too 40
Edmund was 40
go on 40
family and 40
well I 40
only of 40
comfort of 40
comfort to 40
whether she 40
either of 40
view of 40
not it 40
without being 40
my sister 40
We have 40
she looked 40
the following 40
they must 40
be made 40
the contrary 40
is as 40
the window 40
rather than 40
she does 40
change of 40
the appearance 40
for all 40
a new 40
the honour 40
is my 40
saw him 40
other and 40
the lady 40
occurred to 40
him so 40
it possible 40
is I 40
Fanny could 40
that time 40
her opinion 40
speaking of 40
you like 40
her very 40
found herself 40
him He 40
was nothing 40
soon be 40
to suppose 39
never seen 39
before they 39
not mean 39
She has 39
Mrs John 39
thing I 39
was just 39
been used 39
and make 39
had had 39
his heart 39
end to 39
I feel 39
her face 39
Mr Elton's 39
from that 39
his sisters 39
a point 39
of doing 39
the power 39
she cried 39
in being 39
you a 39
down and 39
the right 39
the ball 39
by all 39
said Fanny 39
every other 39
his mind 39
herself as 39
as Mrs 39
been able 39
or at 39
only in 39
were so 39
to another 39
Fanny and 39
me for 39
upon her 39
all I 39
being the 39
that Miss 39
interest in 39
must go 39
he does 39
never saw 39
manner of 39
of something 39
as long 39
it The 39
thing that 39
do I 39
but what 39
give you 39
am sorry 39
at Randalls 39
sorry for 39
morning and 39
very kind 39
would rather 38
her again 38
is what 38
delighted with 38
I wonder 38
When the 38
were very 38
we may 38
happened to 38
as an 38
a quarter 38
Fanny had 38
been more 38
prospect of 38
moment of 38
mind was 38
notice of 38
it by 38
very often 38
would do 38
though not 38
now to 38
I felt 38
impossible to 38
within the 38
been to 38
proof of 38
of herself 38
his behaviour 38
make him 38
till she 38
by Mrs 38
in so 38
and sister 38
the former 38
but they 38
within a 38
his brother 38
with more 38
myself I 38
and were 38
a degree 38
an idea 38
always be 38
will soon 38
have any 37
was enough 37
for herself 37
that your 37
Mr Crawford's 37
own and 37
hand and 37
be married 37
the necessity 37
be supposed 37
see how 37
of going 37
a minute 37
because I 37
Emma had 37
and Catherine 37
very few 37
when her 37
them both 37
she wished 37
or not 37
acquaintance with 37
them as 37
take the 37
ever since 37
sensible of 37
to Emma 37
me but 37
the difference 37
are a 37
a manner 37
to lose 37
you say 37
not wish 37
came in 37
a general 37
to each 37
which a 37
like a 37
back to 37
to an 37
not go 37
But she 37
at such 37
for this 37
take care 37
thank you 37
try to 37
her daughters 36
to Hartfield 36
she went 36
Mr Perry 36
the great 36
a matter 36
something of 36
gone to 36
write to 36
but still 36
no answer 36
who were 36
something more 36
a wife 36
the affair 36
can hardly 36
be gone 36
after her 36
the weather 36
to send 36
to attend 36
to Mansfield 36
a way 36
hope that 36
there and 36
No no 36
it the 36
expectation of 36
from being 36
which would 36
John Dashwood 36
him of 36
not often 36
unable to 36
a much 36
name of 36
not see 36
is such 36
should like 36
of giving 36
the three 36
but this 36
had he 36
the sake 36
if we 36
to read 36
the fire 36
house in 36
sake of 36
which it 36
again to 36
I said 36
when we 36
he were 36
that every 36
return to 36
He could 36
believe I 36
on it 36
his side 36
am I 36
nothing in 36
not being 36
not come 36
I were 35
his manners 35
the means 35
give up 35
is only 35
attention and 35
the feelings 35
there will 35
town and 35
forced to 35
On the 35
hear of 35
at Barton 35
it she 35
with Miss 35
the past 35
nothing else 35
honour of 35
sure she 35
who has 35
he looked 35
not one 35
to wait 35
We must 35
from Mr 35
exactly what 35
In a 35
Mr Martin 35
who is 35
I like 35
was on 35
again I 35
and Harriet 35
Mr Tilney 35
him again 35
felt it 35
and being 35
he may 35
to spend 35
the cottage 35
the comfort 35
dear Miss 35
on your 35
had it 35
the usual 35
and saw 35
the gentleman 35
am glad 35
see it 35
found that 35
Mr Allen 35
is too 35
engaged to 35
fear of 35
all their 35
Weston was 35
him from 35
attachment to 35
to write 35
can do 35
did you 34
felt the 34
the match 34
listened to 34
she believed 34
can never 34
have nothing 34
up in 34
and made 34
hope to 34
there could 34
You may 34
than ever 34
like her 34
a second 34
be and 34
went away 34
them I 34
but one 34
Mr John 34
of so 34
on him 34
uncle and 34
then I 34
you be 34
Mrs Goddard's 34
go with 34
said in 34
and see 34
is your 34
a mile 34
wish for 34
would make 34
as any 34
to shew 34
mind to 34
what the 34
her into 34
was but 34
in Mr 34
Sir William 34
should never 34
very agreeable 34
that no 34
out and 34
in Bath 34
but no 34
She will 34
was rather 34
look and 34
say to 34
with only 34
good opinion 34
it does 34
she hoped 34
woman of 34
for nothing 34
inclined to 34
said Catherine 34
a pleasant 34
found it 34
a visit 34
which might 34
however was 34
was she 34
manner in 33
to accept 33
ten minutes 33
seen him 33
place in 33
on Mrs 33
on and 33
habit of 33
to act 33
as we 33
Thank you 33
unwilling to 33
back again 33
had known 33
few moments 33
He did 33
half the 33
seeing her 33
took place 33
at my 33
and perhaps 33
consciousness of 33
attempt to 33
spirits and 33
the worst 33
had only 33
not allow 33
him on 33
the one 33
of these 33
for us 33
even the 33
to consider 33
man in 33
from their 33
his life 33
very bad 33
see them 33
be for 33
only by 33
I want 33
from my 33
is now 33
her side 33
say I 33
I say 33
pleasure to 33
one day 33
you not 33
but Mr 33
with my 33
up her 33
Mr Willoughby 33
that one 33
that might 33
the poor 33
knew not 33
to receive 33
If he 33
that as 33
the person 33
conviction of 33
the play 33
suppose that 33
and Jane 33
dear I 33
she were 33
so and 32
by their 32
turned away 32
other people 32
the object 32
use of 32
like the 32
little more 32
have known 32
had gone 32
the common 32
friend of 32
his father's 32
many years 32
over her 32
a something 32
consequence of 32
we should 32
an old 32
And so 32
as that 32
being at 32
been long 32
And now 32
where the 32
share of 32
not hear 32
she soon 32
for Miss 32
a certain 32
having been 32
a slight 32
anything of 32
but at 32
eager to 32
the loss 32
the second 32
We are 32
Emma I 32
one and 32
than usual 32
a voice 32
till I 32
without her 32
Jane and 32
come and 32
of no 32
Let me 32
too well 32
of hearing 32
to appear 32
nothing could 32
Harriet was 32
Weston and 32
day before 32
to dine 32
enough of 32
and one 32
to listen 32
it He 32
left them 32
had in 32
told you 32
better for 32
was much 32
She saw 32
he went 32
found her 32
whom I 32
who would 32
and Lady 32
to set 32
the sound 32
exactly the 32
sure that 32
out to 32
Miss Darcy 32
from all 32
and never 32
a ball 32
in life 32
influence of 32
door and 32
long enough 32
giving her 32
Mrs Churchill 32
Mansfield Park 32
her good 32
there being 32
to live 32
them the 32
to assist 32
of love 32
Mr Palmer 32
at it 32
no such 32
every moment 32
could she 32
her brother's 32
it appeared 31
my power 31
they all 31
she sat 31
a mind 31
think so 31
to love 31
effect of 31
into her 31
by Miss 31
at an 31
Mrs Palmer 31
and before 31
hope I 31
they did 31
what could 31
before you 31
her more 31
sit down 31
shall never 31
and an 31
for we 31
thought she 31
and again 31
world and 31
the purpose 31
and must 31
and herself 31
is one 31
from one 31
the old 31
her He 31
have gone 31
for every 31
a situation 31
him was 31
or of 31
a low 31
the highest 31
admiration of 31
Elton was 31
superior to 31
your opinion 31
listen to 31
Knightley and 31
am so 31
he thought 31
willing to 31
sister in 31
But this 31
a pretty 31
never was 31
all your 31
time in 31
out in 31
the particulars 31
her power 31
would give 31
from them 31
aware that 31
she came 31
any such 31
half so 31
pleasure and 31
to please 31
in our 31
that their 31
you please 31
must know 31
a person 31
visit to 31
Fanny I 31
herself she 31
Elinor had 31
years ago 31
wonder at 31
great pleasure 31
you ever 31
a bad 31
with your 31
be his 31
you did 31
Well I 31
Mrs Jennings's 31
Did you 31
not speak 31
to myself 31
expected to 31
her The 31
Maple Grove 31
you so 31
than his 31
be always 31
London and 31
their acquaintance 31
body else 31
be expected 31
he came 31
that to 30
And then 30
people in 30
this and 30
to expect 30
of Lady 30
said Edmund 30
she I 30
her father's 30
de Bourgh 30
put an 30
It had 30
that Fanny 30
the chief 30
Catherine and 30
that all 30
cried Mrs 30
much less 30
when Mr 30
could wish 30
the middle 30
his manner 30
here I 30
that sort 30
took the 30
do and 30
I tell 30
which you 30
was perfectly 30
she and 30
to let 30
never had 30
were now 30
favour of 30
side and 30
and looked 30
he can 30
and mother 30
there had 30
her all 30
any time 30
where he 30
mother was 30
read it 30
was it 30
of time 30
will find 30
of nothing 30
Very well 30
friends and 30
his return 30
about him 30
by some 30
could make 30
no reason 30
them a 30
are the 30
with pleasure 30
you might 30
hoped to 30
all of 30
to its 30
was one 30
I ought 30
as good 30
his character 30
the trouble 30
me so 30
to persuade 30
room for 30
Mr Knightley's 30
they have 30
because she 30
him she 30
saw that 30
said Elizabeth 30
him he 30
other day 30
by them 30
your father 30
her not 30
this very 30
are quite 30
And what 30
at their 30
my feelings 30
well to 29
out the 29
however I 29
ever be 29
while he 29
to pass 29
we do 29
had now 29
of other 29
he added 29
due to 29
again in 29
spoke of 29
I certainly 29
in good 29
no time 29
three months 29
see that 29
he continued 29
his coming 29
had all 29
it You 29
dear Fanny 29
talking to 29
he spoke 29
since the 29
fortune and 29
could he 29
piece of 29
now in 29
not bear 29
dear Emma 29
as little 29
passed away 29
than you 29
ill of 29
him by 29
in no 29
of others 29
justice to 29
number of 29
said Marianne 29
and have 29
have an 29
hopes of 29
air and 29
her But 29
and is 29
sitting down 29
now be 29
which made 29
of another 29
say it 29
herself that 29
It must 29
say and 29
them for 29
will make 29
for half 29
have some 29
do with 29
her attention 29
of whom 29
in Mrs 29
And as 29
be taken 29
herself for 29
it he 29
the happiest 29
variety of 29
said that 29
leave her 29
sound of 29
so it 29
sense and 29
be with 29
think she 29
the hall 29
A very 29
to Elinor 29
all over 29
her son 29
as Miss 29
first time 29
have always 29
because he 29
the gentlemen 29
time I 29
her was 29
and aunt 29
so often 29
hour of 29
of making 29
believe that 29
to visit 29
to bed 29
letter was 29
you You 29
hear it 29
some other 29
that will 29
desire of 29
best of 29
as might 29
like him 29
her time 29
however and 29
think him 29
Fanny to 29
when a 29
at Longbourn 29
sure he 29
indeed and 29
well of 29
very true 29
a place 29
wish I 29
years old 29
said her 29
she heard 29
the street 28
But if 28
Miss Steeles 28
from this 28
an object 28
the principal 28
and Edmund 28
heard him 28
however to 28
the year 28
only for 28
comfort and 28
he felt 28
had hoped 28
to Sir 28
brought up 28
The first 28
that nothing 28
How could 28
her usual 28
said and 28
of everything 28
on purpose 28
You do 28
her situation 28
long and 28
particulars of 28
I declare 28
where they 28
she wanted 28
say he 28
stay at 28
it ought 28
have felt 28
from Mrs 28
object to 28
you my 28
her no 28
She did 28
her having 28
for there 28
one who 28
a brother 28
think he 28
her only 28
much obliged 28
you as 28
the girls 28
had received 28
for being 28
source of 28
the effect 28
answer and 28
think we 28
praise of 28
be allowed 28
not more 28
As for 28
is impossible 28
a strong 28
her eye 28
with whom 28
they parted 28
Mrs Price 28
morning to 28
than that 28
on them 28
affection and 28
been too 28
to wish 28
to recommend 28
feel it 28
what her 28
made the 28
of himself 28
the event 28
in him 28
very sorry 28
life and 28
We shall 28
you the 28
happy and 28
herself with 28
have him 28
not expect 28
something in 28
from what 28
not take 28
looks and 28
very ill 28
if there 27
to move 27
head and 27
was said 27
of happiness 27
on any 27
what do 27
been no 27
my father's 27
